JOB_NAME,POD_NAME,INITIALIZED,SCHEDULED,READY,CONTAINERREADY
2021-04-13-PERF-TEST,test-pod-0,['2021-04-14T02:19:15Z'],['2021-04-14T02:19:15Z'],['2021-04-14T02:19:17Z'],['2021-04-14T02:19:17Z']
2021-04-13-PERF-TEST,test-pod-1,['2021-04-14T02:19:15Z'],['2021-04-14T02:19:15Z'],['2021-04-14T02:19:16Z'],['2021-04-14T02:19:16Z']
2021-04-13-PERF-TEST,test-pod-10,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-11,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-12,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-13,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-14,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-15,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-16,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:25Z'],['2021-04-14T02:20:25Z']
2021-04-13-PERF-TEST,test-pod-17,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-18,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:16Z'],['2021-04-14T02:20:16Z']
2021-04-13-PERF-TEST,test-pod-19,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-2,['2021-04-14T02:19:15Z'],['2021-04-14T02:19:15Z'],['2021-04-14T02:19:17Z'],['2021-04-14T02:19:17Z']
2021-04-13-PERF-TEST,test-pod-20,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-21,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:25Z'],['2021-04-14T02:20:25Z']
2021-04-13-PERF-TEST,test-pod-22,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-23,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-24,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:27Z'],['2021-04-14T02:20:27Z']
2021-04-13-PERF-TEST,test-pod-25,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-26,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:16Z'],['2021-04-14T02:20:16Z']
2021-04-13-PERF-TEST,test-pod-27,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:31Z'],['2021-04-14T02:20:31Z']
2021-04-13-PERF-TEST,test-pod-28,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-29,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-3,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-30,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:27Z'],['2021-04-14T02:20:27Z']
2021-04-13-PERF-TEST,test-pod-31,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-32,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-33,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-34,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-35,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-36,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:16Z'],['2021-04-14T02:20:16Z']
2021-04-13-PERF-TEST,test-pod-37,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-38,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:29Z'],['2021-04-14T02:20:29Z']
2021-04-13-PERF-TEST,test-pod-39,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:28Z'],['2021-04-14T02:20:28Z']
2021-04-13-PERF-TEST,test-pod-4,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:15Z'],['2021-04-14T02:20:15Z']
2021-04-13-PERF-TEST,test-pod-40,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
2021-04-13-PERF-TEST,test-pod-41,['2021-04-14T02:20:11Z'],['2021-04-14T02:20:11Z'],['2021-04-14T02:20:30Z'],['2021-04-14T02:20:30Z']
